instanta,instanta slug,api-slug,judet,tip,curte apel,link just-ro
Judecătoria VÂNJU MARE,JudecatoriaVANJUMARE,JudecatoriaVANJUMARE,MEHEDINŢI,jd,Curtea de Apel CRAIOVA,332
Tribunalul OLT,TribunalulOLT,TribunalulOLT,OLT,tr,Curtea de Apel CRAIOVA,104
Judecătoria BALŞ,JudecatoriaBALS,JudecatoriaBALS,OLT,jd,Curtea de Apel CRAIOVA,184
Judecătoria CARACAL,JudecatoriaCARACAL,JudecatoriaCARACAL,OLT,jd,Curtea de Apel CRAIOVA,207
Judecătoria CORABIA,JudecatoriaCORABIA,JudecatoriaCORABIA,OLT,jd,Curtea de Apel CRAIOVA,213
Judecătoria SLATINA,JudecatoriaSLATINA,JudecatoriaSLATINA,OLT,jd,Curtea de Apel CRAIOVA,311
Curtea de Apel GALAŢI,CurteadeApelGALATI,CurteadeApelGALATI,,ca,,44
Tribunalul BRĂILA,TribunalulBRaILA,TribunalulBRAILA,BRĂILA,tr,Curtea de Apel GALAŢI,113
Judecătoria BRĂILA,JudecatoriaBRaILA,JudecatoriaBRAILA,BRĂILA,jd,Curtea de Apel GALAŢI,196
Judecătoria FĂUREI,JudecatoriaFaUREI,JudecatoriaFAUREI,BRĂILA,jd,Curtea de Apel GALAŢI,228
Judecătoria ÎNSURĂŢEI,JudecatoriaINSURaTEI,JudecatoriaINSURATEI,BRĂILA,jd,Curtea de Apel GALAŢI,247
Tribunalul GALAŢI,TribunalulGALATI,TribunalulGALATI,GALAŢI,tr,Curtea de Apel GALAŢI,121
Judecătoria GALAŢI,JudecatoriaGALATI,JudecatoriaGALATI,GALAŢI,jd,Curtea de Apel GALAŢI,233
Judecătoria TÂRGU BUJOR,JudecatoriaTARGUBUJOR,JudecatoriaTARGUBUJOR,GALAŢI,jd,Curtea de Apel GALAŢI,316
Judecătoria TECUCI,JudecatoriaTECUCI,JudecatoriaTECUCI,GALAŢI,jd,Curtea de Apel GALAŢI,324
Judecătoria LIEŞTI,JudecatoriaLIESTI,JudecatoriaLIESTI,GALAŢI,jd,Curtea de Apel GALAŢI,838
